,Date Reported,Fiscal Year,Department,Category,Sex,Race/Ethnicity,Value
3896,2020-06-30,2020,Community Development,Total Employees,Total,Asian,0.0
3897,2020-06-30,2020,Community Development,Total Employees,Total,Black/African-American,0.0
3898,2020-06-30,2020,Community Development,Total Employees,Total,Hispanic/Latino,1.0
3899,2020-06-30,2020,Community Development,Total Employees,Total,Multiracial,0.0
3900,2020-06-30,2020,Community Development,Total Employees,Total,Native American,0.0
3901,2020-06-30,2020,Community Development,Total Employees,Total,Total,13.0
3902,2020-06-30,2020,Community Development,Total Employees,Total,White,12.0
3903,2020-06-30,2020,Comptroller,Total Employees,Female,Asian,0.0
3904,2020-06-30,2020,Comptroller,Total Employees,Female,Black/African-American,0.0
3905,2020-06-30,2020,Comptroller,Total Employees,Female,Hispanic/Latino,0.0
3906,2020-06-30,2020,Comptroller,Total Employees,Female,Multiracial,0.0
3907,2020-06-30,2020,Comptroller,Total Employees,Female,Native American,0.0
3908,2020-06-30,2020,Comptroller,Total Employees,Female,Total,11.0
3909,2020-06-30,2020,Comptroller,Total Employees,Female,White,11.0
3910,2020-06-30,2020,Comptroller,Total Employees,Male,Asian,0.0
3911,2020-06-30,2020,Comptroller,Total Employees,Male,Black/African-American,0.0
3912,2020-06-30,2020,Comptroller,Total Employees,Male,Hispanic/Latino,0.0
3913,2020-06-30,2020,Comptroller,Total Employees,Male,Multiracial,1.0
3914,2020-06-30,2020,Comptroller,Total Employees,Male,Native American,0.0
3915,2020-06-30,2020,Comptroller,Total Employees,Male,Total,2.0
3916,2020-06-30,2020,Comptroller,Total Employees,Male,White,1.0
3917,2020-06-30,2020,Comptroller,Total Employees,Total,Asian,0.0
3918,2020-06-30,2020,Comptroller,Total Employees,Total,Black/African-American,0.0
3919,2020-06-30,2020,Comptroller,Total Employees,Total,Hispanic/Latino,0.0
3920,2020-06-30,2020,Comptroller,Total Employees,Total,Multiracial,1.0
3921,2020-06-30,2020,Comptroller,Total Employees,Total,Native American,0.0
3922,2020-06-30,2020,Comptroller,Total Employees,Total,Total,13.0
3923,2020-06-30,2020,Comptroller,Total Employees,Total,White,12.0
3924,2020-06-30,2020,Dispatch,Total Employees,Female,Asian,0.0
3925,2020-06-30,2020,Dispatch,Total Employees,Female,Black/African-American,1.0
3926,2020-06-30,2020,Dispatch,Total Employees,Female,Hispanic/Latino,0.0
3927,2020-06-30,2020,Dispatch,Total Employees,Female,Multiracial,0.0
3928,2020-06-30,2020,Dispatch,Total Employees,Female,Native American,0.0
3929,2020-06-30,2020,Dispatch,Total Employees,Female,Total,26.0
3930,2020-06-30,2020,Dispatch,Total Employees,Female,White,25.0
3931,2020-06-30,2020,Dispatch,Total Employees,Male,Asian,0.0
3932,2020-06-30,2020,Dispatch,Total Employees,Male,Black/African-American,1.0
3933,2020-06-30,2020,Dispatch,Total Employees,Male,Hispanic/Latino,0.0
3934,2020-06-30,2020,Dispatch,Total Employees,Male,Multiracial,0.0
3935,2020-06-30,2020,Dispatch,Total Employees,Male,Native American,0.0
3936,2020-06-30,2020,Dispatch,Total Employees,Male,Total,17.0
3937,2020-06-30,2020,Dispatch,Total Employees,Male,White,16.0
3938,2020-06-30,2020,Dispatch,Total Employees,Total,Asian,0.0
3939,2020-06-30,2020,Dispatch,Total Employees,Total,Black/African-American,2.0
3940,2020-06-30,2020,Dispatch,Total Employees,Total,Hispanic/Latino,0.0
3941,2020-06-30,2020,Dispatch,Total Employees,Total,Multiracial,0.0
3942,2020-06-30,2020,Dispatch,Total Employees,Total,Native American,0.0
3943,2020-06-30,2020,Dispatch,Total Employees,Total,Total,43.0
3944,2020-06-30,2020,Dispatch,Total Employees,Total,White,41.0
3945,2020-06-30,2020,Economic Development,Total Employees,Female,Asian,0.0
3946,2020-06-30,2020,Economic Development,Total Employees,Female,Black/African-American,0.0
3947,2020-06-30,2020,Economic Development,Total Employees,Female,Hispanic/Latino,0.0
3948,2020-06-30,2020,Economic Development,Total Employees,Female,Multiracial,0.0
3949,2020-06-30,2020,Economic Development,Total Employees,Female,Native American,0.0
3950,2020-06-30,2020,Economic Development,Total Employees,Female,Total,4.0
3951,2020-06-30,2020,Economic Development,Total Employees,Female,White,4.0
3952,2020-06-30,2020,Economic Development,Total Employees,Male,Asian,0.0
3953,2020-06-30,2020,Economic Development,Total Employees,Male,Black/African-American,0.0
3954,2020-06-30,2020,Economic Development,Total Employees,Male,Hispanic/Latino,0.0
3955,2020-06-30,2020,Economic Development,Total Employees,Male,Multiracial,0.0
3956,2020-06-30,2020,Economic Development,Total Employees,Male,Native American,0.0
3957,2020-06-30,2020,Economic Development,Total Employees,Male,Total,2.0
3958,2020-06-30,2020,Economic Development,Total Employees,Male,White,2.0
3959,2020-06-30,2020,Economic Development,Total Employees,Total,Asian,0.0
3960,2020-06-30,2020,Economic Development,Total Employees,Total,Black/African-American,0.0
3961,2020-06-30,2020,Economic Development,Total Employees,Total,Hispanic/Latino,0.0
3962,2020-06-30,2020,Economic Development,Total Employees,Total,Multiracial,0.0
3963,2020-06-30,2020,Economic Development,Total Employees,Total,Native American,0.0
3964,2020-06-30,2020,Economic Development,Total Employees,Total,Total,6.0
3965,2020-06-30,2020,Economic Development,Total Employees,Total,White,6.0
3966,2020-06-30,2020,Engineering,Total Employees,Female,Asian,0.0
3967,2020-06-30,2020,Engineering,Total Employees,Female,Black/African-American,0.0
3968,2020-06-30,2020,Engineering,Total Employees,Female,Hispanic/Latino,2.0
3969,2020-06-30,2020,Engineering,Total Employees,Female,Multiracial,0.0
3970,2020-06-30,2020,Engineering,Total Employees,Female,Native American,0.0
3971,2020-06-30,2020,Engineering,Total Employees,Female,Total,12.0
3972,2020-06-30,2020,Engineering,Total Employees,Female,White,10.0
3973,2020-06-30,2020,Engineering,Total Employees,Male,Asian,0.0
3974,2020-06-30,2020,Engineering,Total Employees,Male,Black/African-American,1.0
3975,2020-06-30,2020,Engineering,Total Employees,Male,Hispanic/Latino,1.0
3976,2020-06-30,2020,Engineering,Total Employees,Male,Multiracial,0.0
3977,2020-06-30,2020,Engineering,Total Employees,Male,Native American,0.0
3978,2020-06-30,2020,Engineering,Total Employees,Male,Total,21.0
3979,2020-06-30,2020,Engineering,Total Employees,Male,White,19.0
3980,2020-06-30,2020,Engineering,Total Employees,Total,Asian,0.0
3981,2020-06-30,2020,Engineering,Total Employees,Total,Black/African-American,1.0
3982,2020-06-30,2020,Engineering,Total Employees,Total,Hispanic/Latino,3.0
3983,2020-06-30,2020,Engineering,Total Employees,Total,Multiracial,0.0
3984,2020-06-30,2020,Engineering,Total Employees,Total,Native American,0.0
3985,2020-06-30,2020,Engineering,Total Employees,Total,Total,33.0
3986,2020-06-30,2020,Engineering,Total Employees,Total,White,29.0
3987,2020-06-30,2020,Environmental Services,Total Employees,Female,Asian,0.0
3988,2020-06-30,2020,Environmental Services,Total Employees,Female,Black/African-American,0.0
3989,2020-06-30,2020,Environmental Services,Total Employees,Female,Hispanic/Latino,1.0
3990,2020-06-30,2020,Environmental Services,Total Employees,Female,Multiracial,1.0
3991,2020-06-30,2020,Environmental Services,Total Employees,Female,Native American,0.0
3992,2020-06-30,2020,Environmental Services,Total Employees,Female,Total,14.0
3993,2020-06-30,2020,Environmental Services,Total Employees,Female,White,12.0
3994,2020-06-30,2020,Environmental Services,Total Employees,Male,Asian,0.0
3995,2020-06-30,2020,Environmental Services,Total Employees,Male,Black/African-American,5.0
3996,2020-06-30,2020,Environmental Services,Total Employees,Male,Hispanic/Latino,2.0
3997,2020-06-30,2020,Environmental Services,Total Employees,Male,Multiracial,1.0
3998,2020-06-30,2020,Environmental Services,Total Employees,Male,Native American,0.0
3999,2020-06-30,2020,Environmental Services,Total Employees,Male,Total,92.0
4000,2020-06-30,2020,Environmental Services,Total Employees,Male,White,84.0
4001,2020-06-30,2020,Environmental Services,Total Employees,Total,Asian,0.0
4002,2020-06-30,2020,Environmental Services,Total Employees,Total,Black/African-American,5.0
4003,2020-06-30,2020,Environmental Services,Total Employees,Total,Hispanic/Latino,3.0
4004,2020-06-30,2020,Environmental Services,Total Employees,Total,Multiracial,2.0
4005,2020-06-30,2020,Environmental Services,Total Employees,Total,Native American,0.0
4006,2020-06-30,2020,Environmental Services,Total Employees,Total,Total,106.0
4007,2020-06-30,2020,Environmental Services,Total Employees,Total,White,96.0
4008,2020-06-30,2020,Executive Office,Total Employees,Female,Asian,0.0
4009,2020-06-30,2020,Executive Office,Total Employees,Female,Black/African-American,1.0
4010,2020-06-30,2020,Executive Office,Total Employees,Female,Hispanic/Latino,1.0
4011,2020-06-30,2020,Executive Office,Total Employees,Female,Multiracial,0.0
4012,2020-06-30,2020,Executive Office,Total Employees,Female,Native American,1.0
4013,2020-06-30,2020,Executive Office,Total Employees,Female,Total,8.0
4014,2020-06-30,2020,Executive Office,Total Employees,Female,White,5.0
4015,2020-06-30,2020,Executive Office,Total Employees,Male,Asian,0.0
4016,2020-06-30,2020,Executive Office,Total Employees,Male,Black/African-American,4.0
4017,2020-06-30,2020,Executive Office,Total Employees,Male,Hispanic/Latino,1.0
4018,2020-06-30,2020,Executive Office,Total Employees,Male,Multiracial,0.0
4019,2020-06-30,2020,Executive Office,Total Employees,Male,Native American,0.0
4020,2020-06-30,2020,Executive Office,Total Employees,Male,Total,7.0
4021,2020-06-30,2020,Executive Office,Total Employees,Male,White,2.0
4022,2020-06-30,2020,Executive Office,Total Employees,Total,Asian,0.0
4023,2020-06-30,2020,Executive Office,Total Employees,Total,Black/African-American,5.0
4024,2020-06-30,2020,Executive Office,Total Employees,Total,Hispanic/Latino,2.0
4025,2020-06-30,2020,Executive Office,Total Employees,Total,Multiracial,0.0
4026,2020-06-30,2020,Executive Office,Total Employees,Total,Native American,1.0
4027,2020-06-30,2020,Executive Office,Total Employees,Total,Total,15.0
4028,2020-06-30,2020,Executive Office,Total Employees,Total,White,7.0
4029,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Asian,0.0
4030,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Black/African-American,0.0
4031,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Hispanic/Latino,0.0
4032,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Multiracial,1.0
4033,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Native American,0.0
4034,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,Total,6.0
4035,2020-06-30,2020,Facilities and Fleet,Total Employees,Female,White,5.0
4036,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Asian,0.0
4037,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Black/African-American,1.0
4038,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Hispanic/Latino,1.0
4039,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Multiracial,0.0
4040,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Native American,0.0
4041,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,Total,40.0
4042,2020-06-30,2020,Facilities and Fleet,Total Employees,Male,White,38.0
4043,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Asian,0.0
4044,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Black/African-American,1.0
4045,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Hispanic/Latino,1.0
4046,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Multiracial,1.0
4047,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Native American,0.0
4048,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,Total,46.0
4049,2020-06-30,2020,Facilities and Fleet,Total Employees,Total,White,43.0
4050,2020-06-30,2020,Fire Department,Total Employees,Female,Asian,0.0
4051,2020-06-30,2020,Fire Department,Total Employees,Female,Black/African-American,1.0
4052,2020-06-30,2020,Fire Department,Total Employees,Female,Hispanic/Latino,0.0
4053,2020-06-30,2020,Fire Department,Total Employees,Female,Multiracial,0.0
4054,2020-06-30,2020,Fire Department,Total Employees,Female,Native American,0.0
4055,2020-06-30,2020,Fire Department,Total Employees,Female,Total,14.0
4056,2020-06-30,2020,Fire Department,Total Employees,Female,White,13.0
4057,2020-06-30,2020,Fire Department,Total Employees,Male,Asian,0.0
4058,2020-06-30,2020,Fire Department,Total Employees,Male,Black/African-American,5.0
4059,2020-06-30,2020,Fire Department,Total Employees,Male,Hispanic/Latino,4.0
4060,2020-06-30,2020,Fire Department,Total Employees,Male,Multiracial,3.0
4061,2020-06-30,2020,Fire Department,Total Employees,Male,Native American,0.0
4062,2020-06-30,2020,Fire Department,Total Employees,Male,Total,186.0
4063,2020-06-30,2020,Fire Department,Total Employees,Male,White,174.0
4064,2020-06-30,2020,Fire Department,Total Employees,Total,Asian,0.0
4065,2020-06-30,2020,Fire Department,Total Employees,Total,Black/African-American,6.0
4066,2020-06-30,2020,Fire Department,Total Employees,Total,Hispanic/Latino,4.0
4067,2020-06-30,2020,Fire Department,Total Employees,Total,Multiracial,3.0
4068,2020-06-30,2020,Fire Department,Total Employees,Total,Native American,0.0
4069,2020-06-30,2020,Fire Department,Total Employees,Total,Total,200.0
4070,2020-06-30,2020,Fire Department,Total Employees,Total,White,187.0
4071,2020-06-30,2020,Fiscal Services,Total Employees,Female,Asian,0.0
4072,2020-06-30,2020,Fiscal Services,Total Employees,Female,Black/African-American,0.0
4073,2020-06-30,2020,Fiscal Services,Total Employees,Female,Hispanic/Latino,0.0
4074,2020-06-30,2020,Fiscal Services,Total Employees,Female,Multiracial,0.0
4075,2020-06-30,2020,Fiscal Services,Total Employees,Female,Native American,0.0
4076,2020-06-30,2020,Fiscal Services,Total Employees,Female,Total,5.0
4077,2020-06-30,2020,Fiscal Services,Total Employees,Female,White,5.0
4078,2020-06-30,2020,Fiscal Services,Total Employees,Male,Asian,0.0
4079,2020-06-30,2020,Fiscal Services,Total Employees,Male,Black/African-American,0.0
4080,2020-06-30,2020,Fiscal Services,Total Employees,Male,Hispanic/Latino,1.0
4081,2020-06-30,2020,Fiscal Services,Total Employees,Male,Multiracial,0.0
4082,2020-06-30,2020,Fiscal Services,Total Employees,Male,Native American,0.0
4083,2020-06-30,2020,Fiscal Services,Total Employees,Male,Total,5.0
4084,2020-06-30,2020,Fiscal Services,Total Employees,Male,White,4.0
4085,2020-06-30,2020,Fiscal Services,Total Employees,Total,Asian,0.0
4086,2020-06-30,2020,Fiscal Services,Total Employees,Total,Black/African-American,0.0
4087,2020-06-30,2020,Fiscal Services,Total Employees,Total,Hispanic/Latino,1.0
4088,2020-06-30,2020,Fiscal Services,Total Employees,Total,Multiracial,0.0
4089,2020-06-30,2020,Fiscal Services,Total Employees,Total,Native American,0.0
4090,2020-06-30,2020,Fiscal Services,Total Employees,Total,Total,10.0
4091,2020-06-30,2020,Fiscal Services,Total Employees,Total,White,9.0
4092,2020-06-30,2020,Golf Course,Total Employees,Male,Asian,0.0
4093,2020-06-30,2020,Golf Course,Total Employees,Male,Black/African-American,0.0
4094,2020-06-30,2020,Golf Course,Total Employees,Male,Hispanic/Latino,0.0
4095,2020-06-30,2020,Golf Course,Total Employees,Male,Multiracial,0.0
4096,2020-06-30,2020,Golf Course,Total Employees,Male,Native American,0.0
4097,2020-06-30,2020,Golf Course,Total Employees,Male,Total,1.0
4098,2020-06-30,2020,Golf Course,Total Employees,Male,White,1.0
4099,2020-06-30,2020,Golf Course,Total Employees,Total,Asian,0.0
4100,2020-06-30,2020,Golf Course,Total Employees,Total,Black/African-American,0.0
4101,2020-06-30,2020,Golf Course,Total Employees,Total,Hispanic/Latino,0.0
4102,2020-06-30,2020,Golf Course,Total Employees,Total,Multiracial,0.0
4103,2020-06-30,2020,Golf Course,Total Employees,Total,Native American,0.0
4104,2020-06-30,2020,Golf Course,Total Employees,Total,Total,1.0
4105,2020-06-30,2020,Golf Course,Total Employees,Total,White,1.0
4106,2020-06-30,2020,Human Resources,Total Employees,Female,Asian,0.0
4107,2020-06-30,2020,Human Resources,Total Employees,Female,Black/African-American,4.0
4108,2020-06-30,2020,Human Resources,Total Employees,Female,Hispanic/Latino,0.0
4109,2020-06-30,2020,Human Resources,Total Employees,Female,Multiracial,0.0
4110,2020-06-30,2020,Human Resources,Total Employees,Female,Native American,1.0
4111,2020-06-30,2020,Human Resources,Total Employees,Female,Total,10.0
4112,2020-06-30,2020,Human Resources,Total Employees,Female,White,5.0
4113,2020-06-30,2020,Human Resources,Total Employees,Male,Asian,1.0
4114,2020-06-30,2020,Human Resources,Total Employees,Male,Black/African-American,3.0
4115,2020-06-30,2020,Human Resources,Total Employees,Male,Hispanic/Latino,2.0
4116,2020-06-30,2020,Human Resources,Total Employees,Male,Multiracial,1.0
4117,2020-06-30,2020,Human Resources,Total Employees,Male,Native American,0.0
4118,2020-06-30,2020,Human Resources,Total Employees,Male,Total,11.0
4119,2020-06-30,2020,Human Resources,Total Employees,Male,White,4.0
4120,2020-06-30,2020,Human Resources,Total Employees,Total,Asian,1.0
4121,2020-06-30,2020,Human Resources,Total Employees,Total,Black/African-American,7.0
4122,2020-06-30,2020,Human Resources,Total Employees,Total,Hispanic/Latino,2.0
4123,2020-06-30,2020,Human Resources,Total Employees,Total,Multiracial,1.0
4124,2020-06-30,2020,Human Resources,Total Employees,Total,Native American,1.0
4125,2020-06-30,2020,Human Resources,Total Employees,Total,Total,21.0
4126,2020-06-30,2020,Human Resources,Total Employees,Total,White,9.0
4127,2020-06-30,2020,Income Tax,Total Employees,Female,Asian,0.0
4128,2020-06-30,2020,Income Tax,Total Employees,Female,Black/African-American,0.0
4129,2020-06-30,2020,Income Tax,Total Employees,Female,Hispanic/Latino,0.0
4130,2020-06-30,2020,Income Tax,Total Employees,Female,Multiracial,0.0
4131,2020-06-30,2020,Income Tax,Total Employees,Female,Native American,0.0
4132,2020-06-30,2020,Income Tax,Total Employees,Female,Total,8.0
4133,2020-06-30,2020,Income Tax,Total Employees,Female,White,8.0
4134,2020-06-30,2020,Income Tax,Total Employees,Male,Asian,0.0
4135,2020-06-30,2020,Income Tax,Total Employees,Male,Black/African-American,1.0
4136,2020-06-30,2020,Income Tax,Total Employees,Male,Hispanic/Latino,1.0
4137,2020-06-30,2020,Income Tax,Total Employees,Male,Multiracial,0.0
4138,2020-06-30,2020,Income Tax,Total Employees,Male,Native American,0.0
4139,2020-06-30,2020,Income Tax,Total Employees,Male,Total,8.0
4140,2020-06-30,2020,Income Tax,Total Employees,Male,White,6.0
4141,2020-06-30,2020,Income Tax,Total Employees,Total,Asian,0.0
4142,2020-06-30,2020,Income Tax,Total Employees,Total,Black/African-American,1.0
4143,2020-06-30,2020,Income Tax,Total Employees,Total,Hispanic/Latino,1.0
4144,2020-06-30,2020,Income Tax,Total Employees,Total,Multiracial,0.0
4145,2020-06-30,2020,Income Tax,Total Employees,Total,Native American,0.0
4146,2020-06-30,2020,Income Tax,Total Employees,Total,Total,16.0
4147,2020-06-30,2020,Income Tax,Total Employees,Total,White,14.0
4148,2020-06-30,2020,Information Technology,Total Employees,Male,Asian,0.0
4149,2020-06-30,2020,Information Technology,Total Employees,Male,Black/African-American,0.0
4150,2020-06-30,2020,Information Technology,Total Employees,Male,Hispanic/Latino,0.0
4151,2020-06-30,2020,Information Technology,Total Employees,Male,Multiracial,0.0
4152,2020-06-30,2020,Information Technology,Total Employees,Male,Native American,0.0
4153,2020-06-30,2020,Information Technology,Total Employees,Male,Total,3.0
4154,2020-06-30,2020,Information Technology,Total Employees,Male,White,3.0
4155,2020-06-30,2020,Information Technology,Total Employees,Total,Asian,0.0
4156,2020-06-30,2020,Information Technology,Total Employees,Total,Black/African-American,0.0
4157,2020-06-30,2020,Information Technology,Total Employees,Total,Hispanic/Latino,0.0
4158,2020-06-30,2020,Information Technology,Total Employees,Total,Multiracial,0.0
4159,2020-06-30,2020,Information Technology,Total Employees,Total,Native American,0.0
4160,2020-06-30,2020,Information Technology,Total Employees,Total,Total,3.0
4161,2020-06-30,2020,Information Technology,Total Employees,Total,White,3.0
4162,2020-06-30,2020,Library,Total Employees,Female,Asian,0.0
4163,2020-06-30,2020,Library,Total Employees,Female,Black/African-American,6.0
4164,2020-06-30,2020,Library,Total Employees,Female,Hispanic/Latino,0.0
4165,2020-06-30,2020,Library,Total Employees,Female,Multiracial,0.0
4166,2020-06-30,2020,Library,Total Employees,Female,Native American,0.0
4167,2020-06-30,2020,Library,Total Employees,Female,Total,27.0
4168,2020-06-30,2020,Library,Total Employees,Female,White,21.0
4169,2020-06-30,2020,Library,Total Employees,Male,Asian,0.0
4170,2020-06-30,2020,Library,Total Employees,Male,Black/African-American,2.0
4171,2020-06-30,2020,Library,Total Employees,Male,Hispanic/Latino,0.0
4172,2020-06-30,2020,Library,Total Employees,Male,Multiracial,0.0
4173,2020-06-30,2020,Library,Total Employees,Male,Native American,0.0
4174,2020-06-30,2020,Library,Total Employees,Male,Total,19.0
4175,2020-06-30,2020,Library,Total Employees,Male,White,17.0
4176,2020-06-30,2020,Library,Total Employees,Total,Asian,0.0
4177,2020-06-30,2020,Library,Total Employees,Total,Black/African-American,8.0
4178,2020-06-30,2020,Library,Total Employees,Total,Hispanic/Latino,0.0
4179,2020-06-30,2020,Library,Total Employees,Total,Multiracial,0.0
4180,2020-06-30,2020,Library,Total Employees,Total,Native American,0.0
4181,2020-06-30,2020,Library,Total Employees,Total,Total,46.0
4182,2020-06-30,2020,Library,Total Employees,Total,White,38.0
4183,2020-06-30,2020,Mobile GR,Total Employees,Female,Asian,0.0
4184,2020-06-30,2020,Mobile GR,Total Employees,Female,Black/African-American,3.0
4185,2020-06-30,2020,Mobile GR,Total Employees,Female,Hispanic/Latino,0.0
4186,2020-06-30,2020,Mobile GR,Total Employees,Female,Multiracial,0.0
4187,2020-06-30,2020,Mobile GR,Total Employees,Female,Native American,0.0
4188,2020-06-30,2020,Mobile GR,Total Employees,Female,Total,15.0
4189,2020-06-30,2020,Mobile GR,Total Employees,Female,White,12.0
4190,2020-06-30,2020,Mobile GR,Total Employees,Male,Asian,0.0
4191,2020-06-30,2020,Mobile GR,Total Employees,Male,Black/African-American,10.0
4192,2020-06-30,2020,Mobile GR,Total Employees,Male,Hispanic/Latino,1.0
4193,2020-06-30,2020,Mobile GR,Total Employees,Male,Multiracial,1.0
4194,2020-06-30,2020,Mobile GR,Total Employees,Male,Native American,0.0
4195,2020-06-30,2020,Mobile GR,Total Employees,Male,Total,24.0
4196,2020-06-30,2020,Mobile GR,Total Employees,Male,White,12.0
4197,2020-06-30,2020,Mobile GR,Total Employees,Total,Asian,0.0
4198,2020-06-30,2020,Mobile GR,Total Employees,Total,Black/African-American,13.0
4199,2020-06-30,2020,Mobile GR,Total Employees,Total,Hispanic/Latino,1.0
4200,2020-06-30,2020,Mobile GR,Total Employees,Total,Multiracial,1.0
4201,2020-06-30,2020,Mobile GR,Total Employees,Total,Native American,0.0
4202,2020-06-30,2020,Mobile GR,Total Employees,Total,Total,39.0
4203,2020-06-30,2020,Mobile GR,Total Employees,Total,White,24.0
4204,2020-06-30,2020,Our Community's Children,Total Employees,Female,Asian,0.0
4205,2020-06-30,2020,Our Community's Children,Total Employees,Female,Black/African-American,2.0
4206,2020-06-30,2020,Our Community's Children,Total Employees,Female,Hispanic/Latino,0.0
4207,2020-06-30,2020,Our Community's Children,Total Employees,Female,Multiracial,0.0
4208,2020-06-30,2020,Our Community's Children,Total Employees,Female,Native American,0.0
4209,2020-06-30,2020,Our Community's Children,Total Employees,Female,Total,3.0
4210,2020-06-30,2020,Our Community's Children,Total Employees,Female,White,1.0
4211,2020-06-30,2020,Our Community's Children,Total Employees,Total,Asian,0.0
4212,2020-06-30,2020,Our Community's Children,Total Employees,Total,Black/African-American,2.0
4213,2020-06-30,2020,Our Community's Children,Total Employees,Total,Hispanic/Latino,0.0
4214,2020-06-30,2020,Our Community's Children,Total Employees,Total,Multiracial,0.0
4215,2020-06-30,2020,Our Community's Children,Total Employees,Total,Native American,0.0
4216,2020-06-30,2020,Our Community's Children,Total Employees,Total,Total,3.0
4217,2020-06-30,2020,Our Community's Children,Total Employees,Total,White,1.0
4218,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Asian,0.0
4219,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Black/African-American,2.0
4220,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Hispanic/Latino,0.0
4221,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Multiracial,0.0
4222,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Native American,0.0
4223,2020-06-30,2020,Parks & Recreation,Total Employees,Female,Total,9.0
4224,2020-06-30,2020,Parks & Recreation,Total Employees,Female,White,7.0
4225,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Asian,0.0
4226,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Black/African-American,3.0
4227,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Hispanic/Latino,0.0
4228,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Multiracial,0.0
4229,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Native American,0.0
4230,2020-06-30,2020,Parks & Recreation,Total Employees,Male,Total,26.0
4231,2020-06-30,2020,Parks & Recreation,Total Employees,Male,White,23.0
4232,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Asian,0.0
4233,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Black/African-American,5.0
4234,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Hispanic/Latino,0.0
4235,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Multiracial,0.0
4236,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Native American,0.0
4237,2020-06-30,2020,Parks & Recreation,Total Employees,Total,Total,35.0
4238,2020-06-30,2020,Parks & Recreation,Total Employees,Total,White,30.0
4239,2020-06-30,2020,Planning,Total Employees,Female,Asian,0.0
4240,2020-06-30,2020,Planning,Total Employees,Female,Black/African-American,0.0
4241,2020-06-30,2020,Planning,Total Employees,Female,Hispanic/Latino,0.0
4242,2020-06-30,2020,Planning,Total Employees,Female,Multiracial,0.0
4243,2020-06-30,2020,Planning,Total Employees,Female,Native American,0.0
4244,2020-06-30,2020,Planning,Total Employees,Female,Total,7.0
4245,2020-06-30,2020,Planning,Total Employees,Female,White,7.0
4246,2020-06-30,2020,Planning,Total Employees,Male,Asian,0.0
4247,2020-06-30,2020,Planning,Total Employees,Male,Black/African-American,0.0
4248,2020-06-30,2020,Planning,Total Employees,Male,Hispanic/Latino,0.0
4249,2020-06-30,2020,Planning,Total Employees,Male,Multiracial,1.0
4250,2020-06-30,2020,Planning,Total Employees,Male,Native American,0.0
4251,2020-06-30,2020,Planning,Total Employees,Male,Total,8.0
4252,2020-06-30,2020,Planning,Total Employees,Male,White,7.0
4253,2020-06-30,2020,Planning,Total Employees,Total,Asian,0.0
4254,2020-06-30,2020,Planning,Total Employees,Total,Black/African-American,0.0
4255,2020-06-30,2020,Planning,Total Employees,Total,Hispanic/Latino,0.0
4256,2020-06-30,2020,Planning,Total Employees,Total,Multiracial,1.0
4257,2020-06-30,2020,Planning,Total Employees,Total,Native American,0.0
4258,2020-06-30,2020,Planning,Total Employees,Total,Total,15.0
4259,2020-06-30,2020,Planning,Total Employees,Total,White,14.0
4260,2020-06-30,2020,Police Department,Total Employees,Female,Asian,1.0
4261,2020-06-30,2020,Police Department,Total Employees,Female,Black/African-American,1.0
4262,2020-06-30,2020,Police Department,Total Employees,Female,Hispanic/Latino,1.0
4263,2020-06-30,2020,Police Department,Total Employees,Female,Multiracial,2.0
4264,2020-06-30,2020,Police Department,Total Employees,Female,Native American,0.0
4265,2020-06-30,2020,Police Department,Total Employees,Female,Total,63.0
4266,2020-06-30,2020,Police Department,Total Employees,Female,White,58.0
4267,2020-06-30,2020,Police Department,Total Employees,Male,Asian,4.0
